Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Jane,2019-06-06 12:15:02,EMAIL_ORIGINALS_PREPROMOTE,EMAIL,GB,en-GB,en-GB,Murder Mystery,GMAIL.COM,,,,0
Jane,2019-06-05 12:01:04,INAPP_NEW_SEASON_ALERT,NOTIFICATIONS,GB,,,Black Mirror,GMAIL.COM,,,,0
Jane,2019-06-05 12:01:04,PUSH_NEW_SEASON_ALERT,PUSH,GB,en-GB,en-GB,Black Mirror,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-06-05 11:47:57,EMAIL_NEW_SEASON_ALERT_BLACK_MIRROR_S5,EMAIL,GB,en-GB,en-GB,Black Mirror,GMAIL.COM,,,,0
Jane,2019-06-01 12:33:10,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,When They See Us,GMAIL.COM,,,,0
Jane,2019-05-31 18:08:34,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,When They See Us,GMAIL.COM,,,,0
Jane,2019-05-30 12:58:14,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,GB,,,The Chef Show,GMAIL.COM,,,,0
Jane,2019-05-30 12:58:14,PUSH_ORIGINALS_PREPROMOTE,PUSH,GB,en-GB,en-GB,The Chef Show,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-05-30 12:26:07,EMAIL_ORIGINALS_PREPROMOTE,EMAIL,GB,en-GB,en-GB,The Chef Show,GMAIL.COM,,,,0
Jane,2019-05-28 12:23:03,PUSH_ORIGINALS_PREPROMOTE,PUSH,GB,en-GB,en-GB,Black Mirror,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-05-28 12:23:02,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,GB,,,Black Mirror,GMAIL.COM,,,,0
Jane,2019-05-28 11:58:10,EMAIL_ORIGINALS_PREPROMOTE,EMAIL,GB,en-GB,en-GB,Black Mirror,GMAIL.COM,,,,0
Jane,2019-05-23 11:53:06,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,GB,,,Always Be My Maybe,GMAIL.COM,,,,0
Jane,2019-05-23 11:53:06,PUSH_ORIGINALS_PREPROMOTE,PUSH,GB,en-GB,en-GB,Always Be My Maybe,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-05-23 11:42:03,EMAIL_ORIGINALS_PREPROMOTE_ALWAYS_BE_MY_MAYBE,EMAIL,GB,en-GB,en-GB,Always Be My Maybe,GMAIL.COM,,,,0
Jane,2019-05-17 12:56:56,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,See You Yesterday,GMAIL.COM,,,,0
Jane,2019-05-17 12:56:56,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,See You Yesterday,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-05-17 12:56:56,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,See You Yesterday,GMAIL.COM,,,,0
Jane,2019-05-10 15:44:17,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,Wine Country,GMAIL.COM,,,,0
Jane,2019-05-10 15:44:17,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,Wine Country,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-05-10 10:33:09,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,Wine Country,GMAIL.COM,,,,0
Jane,2019-05-02 11:44:13,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,GB,,,Wine Country,GMAIL.COM,,,,0
Jane,2019-05-02 11:44:13,PUSH_ORIGINALS_PREPROMOTE,PUSH,GB,en-GB,en-GB,Wine Country,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-05-02 10:51:12,EMAIL_ORIGINALS_PREPROMOTE,EMAIL,GB,en-GB,en-GB,Wine Country,GMAIL.COM,,,,0
Jane,2019-05-01 13:02:01,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,Knock Down The House,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-05-01 12:57:51,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,Knock Down The House,GMAIL.COM,,,,0
Jane,2019-05-01 08:26:38,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,Knock Down The House,GMAIL.COM,,,,0
Jane,2019-04-27 11:58:12,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,Street Food: Asia,GMAIL.COM,,,,0
Jane,2019-04-27 11:58:12,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,Street Food: Asia,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-04-27 04:19:16,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,Street Food: Asia,GMAIL.COM,,,,0
Jane,2019-04-25 12:01:49,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,GB,,,Dead to Me,GMAIL.COM,,,APPLE_iPhone8-4,0
Jane,2019-04-25 12:01:49,PUSH_ORIGINALS_PREPROMOTE,PUSH,GB,en-GB,en-GB,Dead to Me,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-04-25 11:32:11,EMAIL_ORIGINALS_PREPROMOTE,EMAIL,GB,en-GB,en-GB,Dead to Me,GMAIL.COM,,,,0
Jane,2019-04-24 16:53:25,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,BONDING,GMAIL.COM,,,,0
Jane,2019-04-24 16:53:25,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,BONDING,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-04-24 16:53:24,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,BONDING,GMAIL.COM,,,APPLE_iPhone8-4,0
Jane,2019-04-19 16:40:38,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,Someone Great,GMAIL.COM,,,,0
Jane,2019-04-19 16:40:38,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,Someone Great,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-04-19 16:40:38,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,Someone Great,GMAIL.COM,,,,0
Jane,2019-04-18 11:40:38,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,GB,,,Street Food: Asia,GMAIL.COM,,,,0
Jane,2019-04-18 11:40:38,PUSH_ORIGINALS_PREPROMOTE,PUSH,GB,en-GB,en-GB,Street Food: Asia,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-04-18 11:40:08,EMAIL_ORIGINALS_PREPROMOTE,EMAIL,GB,en-GB,en-GB,Street Food: Asia,GMAIL.COM,,,,0
Jane,2019-04-13 17:16:56,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,The Perfect Date,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-04-13 17:16:56,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,The Perfect Date,GMAIL.COM,,,,0
