Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
YVWBT-DT20-EE505111-5206-4F82-B11E-5EAD7DAFA601,GB,Youview British Telecom DTR-T2100 Set Top Box,Youview British Telecom DTR-T2100 Set Top Box,165.120.222.249,Lancashire,2019-03-30T19:57:28.531Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.154.38.31,Hertfordshire,2019-03-29T19:47:28.415Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.150.165.248,Cardiff,2019-03-28T18:52:47.789Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.150.165.248,Cardiff,2019-03-22T18:21:32.610Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.151.27.30,Tameside,2019-03-14T20:10:25.536Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,31.48.249.4,Hertfordshire,2019-03-12T20:34:55.227Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.151.2.175,Cheshire West and Chester,2019-03-10T19:59:01.369Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.151.2.175,Cheshire West and Chester,2019-03-08T19:32:10.563Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.153.137.219,Hertfordshire,2019-02-26T19:51:31.404Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.154.36.120,Havering,2019-02-24T19:05:38.103Z
