Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Jane,tvui,browseTitles,,,2022-01-07 19:07:37
Jane,tvui,browseTitles,,,2022-01-07 19:07:09
Jane,tvui,screenSaver,,,2022-01-07 19:07:09
Jane,tvui,profilesGate,,,2022-01-07 19:02:02
Jane,tvui,browseTitles,,,2022-01-07 19:02:02
Jane,tvui,profilesGate,,,2022-01-07 19:02:00
Jane,iOS,movieDetails,,,2022-01-06 08:07:17
Jane,iOS,search,,,2022-01-06 08:07:16
Jane,iOS,movieDetails,,,2022-01-06 08:06:59
Jane,iOS,search,,,2022-01-06 08:06:59
Jane,iOS,movieDetails,,,2022-01-06 08:06:43
Jane,iOS,search,,,2022-01-06 08:06:42
Jane,iOS,movieDetails,,,2022-01-06 08:06:41
Jane,iOS,search,,,2022-01-06 08:06:41
Jane,iOS,movieDetails,,,2022-01-06 08:06:32
Jane,iOS,search,,,2022-01-06 08:06:31
Jane,iOS,browseTitles,,,2022-01-06 08:06:25
Jane,iOS,search,,,2022-01-06 08:06:25
Jane,iOS,profilesGate,,,2022-01-06 08:06:24
Jane,iOS,profilesGate,,,2022-01-06 08:06:24
Jane,iOS,browseTitles,,,2022-01-06 08:06:24
Jane,tvui,profilesGate,,,2022-01-05 20:31:01
Jane,tvui,browseTitles,,,2022-01-05 20:31:01
Jane,tvui,browseTitles,,,2022-01-05 20:01:01
Jane,tvui,movieDetails,,,2022-01-05 20:01:01
Jane,tvui,playback,,,2022-01-05 20:00:59
Jane,tvui,movieDetails,,,2022-01-05 20:00:59
Jane,tvui,movieDetails,,,2022-01-05 19:56:29
Jane,tvui,playback,,,2022-01-05 19:56:29
Jane,tvui,movieDetails,,,2022-01-05 19:56:24
Jane,tvui,browseTitles,,,2022-01-05 19:56:24
Jane,tvui,movieDetails,,,2022-01-05 19:55:24
Jane,tvui,browseTitles,,,2022-01-05 19:55:24
Jane,tvui,playback,,,2022-01-05 19:55:20
Jane,tvui,movieDetails,,,2022-01-05 19:55:20
Jane,tvui,playback,,,2022-01-05 19:38:58
Jane,tvui,movieDetails,,,2022-01-05 19:38:58
Jane,tvui,browseTitles,,,2022-01-05 19:38:56
Jane,tvui,movieDetails,,,2022-01-05 19:38:56
Jane,tvui,movieDetails,,,2022-01-05 19:37:27
Jane,tvui,browseTitles,,,2022-01-05 19:37:27
Jane,tvui,browseTitles,,,2022-01-05 19:37:20
Jane,tvui,movieDetails,,,2022-01-05 19:37:20
Jane,tvui,movieDetails,,,2022-01-05 19:36:10
Jane,tvui,browseTitles,,,2022-01-05 19:36:10
Jane,tvui,browseTitles,,,2022-01-05 19:36:05
Jane,tvui,movieDetails,,,2022-01-05 19:36:05
Jane,tvui,movieDetails,,,2022-01-05 19:34:55
Jane,tvui,browseTitles,,,2022-01-05 19:34:55
Jane,tvui,browseTitles,,,2022-01-05 19:34:52
Jane,tvui,movieDetails,,,2022-01-05 19:34:52
Jane,tvui,movieDetails,,,2022-01-05 19:34:31
Jane,tvui,browseTitles,,,2022-01-05 19:34:31
Jane,tvui,browseTitles,,,2022-01-05 19:34:26
Jane,tvui,movieDetails,,,2022-01-05 19:34:26
Jane,tvui,movieDetails,,,2022-01-05 19:33:16
Jane,tvui,browseTitles,,,2022-01-05 19:33:16
Jane,tvui,browseTitles,,,2022-01-05 19:33:09
Jane,tvui,movieDetails,,,2022-01-05 19:33:09
Jane,tvui,movieDetails,,,2022-01-05 19:33:07
Jane,tvui,browseTitles,,,2022-01-05 19:33:07
Jane,tvui,browseTitles,,,2022-01-05 19:32:59
Jane,tvui,movieDetails,,,2022-01-05 19:32:59
Jane,tvui,browseTitles,,,2022-01-05 19:30:55
Jane,tvui,profilesGate,,,2022-01-05 19:30:55
Jane,tvui,profilesGate,,,2022-01-05 19:30:55
Jane,tvui,profilesGate,,,2022-01-05 19:30:39
Jane,iOS,browseTitles,,,2022-01-03 20:54:31
Jane,iOS,search,,,2022-01-03 20:54:31
Jane,iOS,movieDetails,,,2022-01-03 20:54:22
Jane,iOS,search,,,2022-01-03 20:54:21
Jane,iOS,profilesGate,,,2022-01-03 20:54:10
Jane,iOS,profilesGate,,,2022-01-03 20:54:10
Jane,iOS,browseTitles,,,2022-01-03 20:54:10
Jane,iOS,movieDetails,,,2022-01-02 21:46:21
Jane,iOS,browseTitles,,,2022-01-02 21:46:21
Jane,iOS,movieDetails,,,2022-01-02 21:46:19
Jane,iOS,browseTitles,,,2022-01-02 21:46:18
Jane,iOS,movieDetails,,,2022-01-02 21:45:49
Jane,iOS,browseTitles,,,2022-01-02 21:45:49
Jane,iOS,movieDetails,,,2022-01-02 21:45:46
Jane,iOS,browseTitles,,,2022-01-02 21:45:45
Jane,iOS,movieDetails,,,2022-01-02 21:45:42
Jane,iOS,browseTitles,,,2022-01-02 21:45:42
Jane,iOS,browseTitles,,,2022-01-02 21:45:37
Jane,iOS,movieDetails,,,2022-01-02 21:45:37
Jane,iOS,browseTitles,,,2022-01-02 21:44:39
Jane,iOS,movieDetails,,,2022-01-02 21:44:39
Jane,iOS,browseTitles,,,2022-01-02 21:44:32
Jane,iOS,movieDetails,,,2022-01-02 21:44:32
Jane,iOS,browseTitles,,,2022-01-02 21:44:18
Jane,iOS,profilesGate,,,2022-01-02 21:44:18
Jane,iOS,profilesGate,,,2022-01-02 21:44:17
Jane,iOS,browseTitles,,,2021-12-31 21:00:56
Jane,iOS,search,,,2021-12-31 21:00:56
Jane,iOS,profilesGate,,,2021-12-31 21:00:47
Jane,iOS,profilesGate,,,2021-12-31 21:00:47
Jane,iOS,browseTitles,,,2021-12-31 21:00:47
Jane,iOS,movieDetails,,,2021-12-31 13:26:50
Jane,iOS,browseTitles,,,2021-12-31 13:26:50
Jane,iOS,movieDetails,,,2021-12-31 13:26:44
Jane,iOS,browseTitles,,,2021-12-31 13:26:43
Jane,iOS,movieDetails,,,2021-12-31 13:26:36
Jane,iOS,browseTitles,,,2021-12-31 13:26:36
Jane,iOS,movieDetails,,,2021-12-31 13:25:24
Jane,iOS,browseTitles,,,2021-12-31 13:25:23
Jane,iOS,profilesGate,,,2021-12-31 13:25:04
Jane,iOS,profilesGate,,,2021-12-31 13:25:04
Jane,iOS,browseTitles,,,2021-12-31 13:25:04
Jane,tvui,screenSaver,,,2021-12-29 23:02:59
Jane,tvui,browseTitles,,,2021-12-29 23:02:59
Jane,tvui,browseTitles,,,2021-12-29 22:54:52
Jane,tvui,screenSaver,,,2021-12-29 22:54:52
Jane,tvui,movieDetails,,,2021-12-29 22:38:13
Jane,tvui,browseTitles,,,2021-12-29 22:38:13
Jane,tvui,playback,,,2021-12-29 22:34:30
Jane,tvui,movieDetails,,,2021-12-29 22:34:30
Jane,tvui,movieDetails,,,2021-12-29 22:17:45
Jane,tvui,playback,,,2021-12-29 22:17:45
Jane,tvui,movieDetails,,,2021-12-29 22:16:56
Jane,tvui,playback,,,2021-12-29 22:16:56
