Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Jane,GB,Smart TV,0,coop,Love the Coopers,play,video_info,2018-12-08 15:12:23
Jane,GB,Smart TV,0,roy,A Christmas Prince: The Royal Wedding,play,video_info,2018-12-08 14:42:40
Jane,GB,Smart TV,0,roy,A Christmas Prince: The Royal Wedding,view_video_info,title_results,2018-12-08 14:42:40
Jane,GB,iPhone,0,angela,Angela's Christmas,view_video_info,title_results,2018-12-07 17:50:47
Jane,GB,Smart TV,0,pass,Passengers,view_video_info,title_results,2018-12-02 20:02:57
Jane,GB,Smart TV,0,noc,Nocturnal Animals,play,video_info,2018-11-30 21:14:12
Jane,GB,Smart TV,0,noc,Nocturnal Animals,play,title_results,2018-11-30 21:11:43
Jane,GB,iPhone,0,anth,Anthony Bourdain: Parts Unknown,play,video_info,2018-11-30 20:03:22
Jane,GB,iPhone,0,anth,Anthony Bourdain: Parts Unknown,play,video_info,2018-11-30 20:03:02
Jane,GB,iPhone,0,anth,Anthony Bourdain: Parts Unknown,view_video_info,title_results,2018-11-30 20:02:40
Jane,GB,Smart TV,0,uhd,Outlaw King,play,video_info,2018-11-16 20:25:20
Jane,GB,Smart TV,0,uhd,Outlaw King,view_video_info,suggestion_title_results,2018-11-16 20:25:20
Jane,GB,Smart TV,0,uhd,House of Cards,play,video_info,2018-11-16 20:22:37
Jane,GB,Smart TV,0,uhd,House of Cards,view_video_info,suggestion_title_results,2018-11-16 20:22:36
Jane,GB,Smart TV,0,uhd,Outlaw King,view_video_info,suggestion_title_results,2018-11-16 20:22:13
Jane,GB,Smart TV,0,uhd,Outlaw King,play,video_info,2018-11-16 20:22:13
Jane,GB,Smart TV,0,uhd,UHD,view_suggestion_info,suggestion_results,2018-11-16 20:22:09
Jane,GB,iPhone,0,christmas pri,A Christmas Prince,view_video_info,title_results,2018-11-16 12:20:48
Jane,GB,iPhone,0,christmas pri,A Christmas Prince: The Royal Wedding,view_video_info,title_results,2018-11-16 12:20:20
Jane,GB,Smart TV,0,out ,Out of Thin Air,view_video_info,title_results,2018-10-28 21:36:40
Jane,GB,Smart TV,0,out ,Out of Thin Air,play,video_info,2018-10-28 21:36:40
Jane,GB,iPhone,0,parts unkn,Anthony Bourdain: Parts Unknown,play,video_info,2018-10-22 18:39:11
Jane,GB,iPhone,0,parts unkn,Anthony Bourdain: Parts Unknown,play,video_info,2018-10-22 18:39:05
Jane,GB,iPhone,0,parts unkn,Anthony Bourdain: Parts Unknown,view_video_info,title_results,2018-10-22 18:39:02
Jane,GB,iPad,0,roma,ROMA,view_video_info,title_results,2018-10-21 18:21:34
Jane,GB,iPad,0,ballad of buster,The Ballad of Buster Scruggs,view_video_info,title_results,2018-10-21 18:21:21
Jane,GB,iPad,0,making,Making a Murderer,view_video_info,title_results,2018-10-21 17:54:56
Jane,GB,iPhone,0,ant,Anthony Bourdain: Parts Unknown,play,video_info,2018-10-20 18:45:39
Jane,GB,iPhone,0,ant,Anthony Bourdain: Parts Unknown,play,video_info,2018-10-20 18:44:02
Jane,GB,iPhone,0,ant,Anthony Bourdain: Parts Unknown,view_video_info,title_results,2018-10-20 18:44:00
Jane,GB,Smart TV,0,r,Rick and Morty,view_video_info,title_results,2018-10-19 17:45:24
Jane,GB,Smart TV,0,r,Rick and Morty,play,video_info,2018-10-19 17:45:24
Jane,GB,Smart TV,0,r,Rick and Morty,play,video_info,2018-10-19 17:37:15
Jane,GB,Smart TV,0,r,Rick and Morty,view_video_info,title_results,2018-10-19 17:37:15
Jane,GB,iPhone,0,fat,Salt Fat Acid Heat,play,video_info,2018-10-14 16:39:30
Jane,GB,iPhone,0,fat,Salt Fat Acid Heat,play,video_info,2018-10-14 16:38:57
Jane,GB,iPhone,0,fat,Salt Fat Acid Heat,view_video_info,title_results,2018-10-14 16:38:55
Jane,GB,Smart TV,0,wiv,Three Wives One Husband,view_video_info,title_results,2018-10-14 13:46:25
Jane,GB,Smart TV,0,wiv,Three Wives One Husband,play,video_info,2018-10-14 13:46:25
Jane,GB,Smart TV,0,trav,Jack Whitehall: Travels with My Father,play,video_info,2018-10-13 22:09:47
Jane,GB,Smart TV,0,trav,Jack Whitehall: Travels with My Father,view_video_info,title_results,2018-10-13 22:09:47
Jane,GB,,0,lost,The Lost World,view_suggestion_info,suggestion_results,2018-09-29 19:44:44
Jane,GB,,0,dex,MINDHUNTER,play,video_info,2018-09-09 18:06:21
Jane,GB,,0,dex,MINDHUNTER,view_video_info,suggestion_title_results,2018-09-09 18:06:21
Jane,GB,,0,dex,MINDHUNTER,view_video_info,suggestion_title_results,2018-09-09 17:58:31
Jane,GB,,0,dex,MINDHUNTER,play,video_info,2018-09-09 17:58:31
Jane,GB,,0,dex,Dexter,view_suggestion_info,suggestion_results,2018-09-09 17:58:27
Jane,GB,Xbox,0,home,home again,play,video_info,2018-08-26 12:12:29
Jane,GB,Xbox,0,home,home again,view_video_info,title_results,2018-08-26 12:12:29
Jane,GB,Smart TV,0,lon,mississippi burning,play,video_info,2018-08-25 19:24:49
Jane,GB,Smart TV,0,lon,-1,view_video_info,title_results,2018-08-25 19:24:49
Jane,GB,Smart TV,0,lon,-1,play,title_results,2018-08-25 19:24:27
Jane,GB,Smart TV,0,lon,-1,view_video_info,title_results,2018-08-25 19:24:27
